epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,65,43060,662.461538462,6.16235161951
2,114,22080,193.684210526,9.59891263685
3,64,46260,722.8125,10.5422205517
4,98,42600,434.693877551,9.48691954339
5,107,42320,395.514018692,8.28190623194
6,79,76060,962.784810127,8.66342480635
7,60,147730,2462.16666667,9.59113051856
8,49,158780,3240.40816327,10.1795164295
9,64,110300,1723.4375,10.9116467833
10,62,152720,2463.22580645,10.5920025057
11,49,166340,3394.69387755,11.1266559632
12,46,195280,4245.2173913,10.7050203546
13,114,60200,528.070175439,11.2587766157
14,103,71900,698.058252427,11.5050339505
15,59,158640,2688.81355932,11.604370549
16,52,190900,3671.15384615,11.5031445142
17,67,127260,1899.40298507,11.611743187
